"","x"
"1","ENSG00000199004_at"
"2","ENSG00000198074_at"
"3","ENSG00000163220_at"
"4","ENSG00000188373_at"
"5","ENSG00000137648_at"
"6","ENSG00000185962_at"
"7","ENSG00000041982_at"
"8","ENSG00000186832_at"
"9","ENSG00000184330_at"
"10","ENSG00000163221_at"
"11","ENSG00000168490_at"
"12","ENSG00000007908_at"
"13","ENSG00000197641_at"
"14","ENSG00000124102_at"
"15","ENSG00000025708_at"
"16","ENSG00000185966_at"
"17","ENSG00000148798_at"
"18","ENSG00000205420_at"
"19","ENSG00000134827_at"
"20","ENSG00000238460_at"
"21","ENSG00000188293_at"
"22","ENSG00000057149_at"
"23","ENSG00000090104_at"
"24","ENSG00000163202_at"
"25","ENSG00000138135_at"
"26","ENSG00000172382_at"
"27","ENSG00000165474_at"
"28","ENSG00000162040_at"
"29","ENSG00000170465_at"
"30","ENSG00000236543_at"
"31","ENSG00000184557_at"
"32","ENSG00000227471_at"
"33","ENSG00000213022_at"
"34","ENSG00000171208_at"
"35","ENSG00000226005_at"
"36","ENSG00000206073_at"
"37","ENSG00000181333_at"
"38","ENSG00000136688_at"
"39","ENSG00000169469_at"
"40","ENSG00000143546_at"
"41","ENSG00000174808_at"
"42","ENSG00000012223_at"
"43","ENSG00000108691_at"
"44","ENSG00000189182_at"
"45","ENSG00000121742_at"
"46","ENSG00000227300_at"
"47","ENSG00000109906_at"
"48","ENSG00000169213_at"
"49","ENSG00000159337_at"
"50","ENSG00000196805_at"
"51","ENSG00000117594_at"
"52","ENSG00000110347_at"
"53","ENSG00000196611_at"
"54","ENSG00000168671_at"
"55","ENSG00000125571_at"
"56","ENSG00000137558_at"
"57","ENSG00000196616_at"
"58","ENSG00000175592_at"
"59","ENSG00000248329_at"
"60","ENSG00000206384_at"
"61","ENSG00000103569_at"
"62","ENSG00000169474_at"
"63","ENSG00000153802_at"
"64","ENSG00000172752_at"
"65","ENSG00000171711_at"
"66","ENSG00000136694_at"
"67","ENSG00000182585_at"
"68","ENSG00000172724_at"
"69","ENSG00000134028_at"
"70","ENSG00000200972_at"
"71","ENSG00000006074_at"
"72","ENSG00000169429_at"
"73","ENSG00000102962_at"
"74","ENSG00000185479_at"
"75","ENSG00000156076_at"
"76","ENSG00000101670_at"
"77","ENSG00000167755_at"
"78","ENSG00000075673_at"
"79","ENSG00000169245_at"
"80","ENSG00000138755_at"
"81","ENSG00000184210_at"
