Common genes,Obtained by DGE,Obtained by sPLS
ENSG00000186832,ENSG00000196805,ENSG00000263561
ENSG00000124102,ENSG00000006074,ENSG00000249071
ENSG00000165474,ENSG00000185962,ENSG00000263890
ENSG00000172382,ENSG00000175592,ENSG00000227213
ENSG00000198074,ENSG00000188373,ENSG00000183092
ENSG00000163220,ENSG00000075673,ENSG00000142082
ENSG00000163221,ENSG00000138755,ENSG00000228010
 ,ENSG00000041982,ENSG00000225610
 ,ENSG00000012223,ENSG00000028839
 ,ENSG00000184557,ENSG00000213080
 ,ENSG00000169213,ENSG00000231830
 ,ENSG00000168671,ENSG00000148985
 ,ENSG00000248329,ENSG00000199306
 ,ENSG00000125571,ENSG00000153237
 ,ENSG00000185479,ENSG00000196364
 ,ENSG00000007908,ENSG00000258600
 ,ENSG00000138135,ENSG00000135094
 ,ENSG00000137558,ENSG00000011590
 ,ENSG00000109906,ENSG00000222040
 ,ENSG00000169469,ENSG00000128534
 ,ENSG00000174808,ENSG00000182481
 ,ENSG00000090104,ENSG00000238811
 ,ENSG00000121742,ENSG00000223401
 ,ENSG00000172724,ENSG00000246790
 ,ENSG00000101670,ENSG00000174327
 ,ENSG00000148798,ENSG00000239718
 ,ENSG00000196611,ENSG00000101306
 ,ENSG00000025708,ENSG00000254907
 ,ENSG00000134028,ENSG00000236824
 ,ENSG00000134827,ENSG00000131018
 ,ENSG00000199004,ENSG00000252203
 ,ENSG00000182585,ENSG00000198972
 ,ENSG00000159337,ENSG00000143093
 ,ENSG00000117594,ENSG00000249816
 ,ENSG00000172752,ENSG00000261817
 ,ENSG00000170465,ENSG00000253741
 ,ENSG00000108691,ENSG00000235027
 ,ENSG00000200972,ENSG00000076604
 ,ENSG00000181333,ENSG00000252419
 ,ENSG00000184330,ENSG00000260995
 ,ENSG00000162040,ENSG00000255208
 ,ENSG00000196616,ENSG00000229458
 ,ENSG00000197641,ENSG00000258386
 ,ENSG00000227300,ENSG00000115041
 ,ENSG00000156076,ENSG00000146469
 ,ENSG00000238460,ENSG00000238974
 ,ENSG00000188293,ENSG00000229086
 ,ENSG00000167755,ENSG00000127334
 ,ENSG00000205420,ENSG00000224863
 ,ENSG00000163202,ENSG00000233661
 ,ENSG00000206073,ENSG00000170191
 ,ENSG00000169429,ENSG00000206192
 ,ENSG00000171711,ENSG00000187969
 ,ENSG00000236543,ENSG00000257325
 ,ENSG00000102962,ENSG00000212404
 ,ENSG00000169474,ENSG00000100314
 ,ENSG00000110347,ENSG00000257194
 ,ENSG00000153802,ENSG00000149243
 ,ENSG00000184210,ENSG00000082996
 ,ENSG00000169245,ENSG00000215921
 ,ENSG00000226005,ENSG00000196242
 ,ENSG00000136694,ENSG00000149792
 ,ENSG00000206384,ENSG00000203951
 ,ENSG00000137648,ENSG00000177822
 ,ENSG00000213022,ENSG00000172148
 ,ENSG00000171208,ENSG00000174276
 ,ENSG00000168490,ENSG00000145384
 ,ENSG00000103569,ENSG00000188340
 ,ENSG00000136688,ENSG00000248746
 ,ENSG00000227471,ENSG00000207089
 ,ENSG00000189182,ENSG00000252522
 ,ENSG00000143546,ENSG00000152292
 ,ENSG00000185966,ENSG00000148411
 ,ENSG00000057149,ENSG00000205837
 , ,ENSG00000186090
 , ,ENSG00000172969
 , ,ENSG00000107618
 , ,ENSG00000175262
 , ,ENSG00000254204
 , ,ENSG00000186529
 , ,ENSG00000238453
 , ,ENSG00000226751
 , ,ENSG00000229311
 , ,ENSG00000228142
 , ,ENSG00000172209
 , ,ENSG00000228452
 , ,ENSG00000200327
 , ,ENSG00000196277
 , ,ENSG00000186113
 , ,ENSG00000224101
 , ,ENSG00000207501
 , ,ENSG00000141543
